Date/Time,Electricity:Facility [J](RunPeriod),ElectricityPurchased:Facility [J](RunPeriod),ElectricityProduced:Facility [J](RunPeriod),ElectricitySurplusSold:Facility [J](RunPeriod),ElectricityNet:Facility [J](RunPeriod),Source:Facility [J](RunPeriod),CO2:Facility [kg](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:Plant [J](RunPeriod),Electricity:HVAC [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Fans:Electricity [J](RunPeriod),Cooling:Electricity [J](RunPeriod),Heating:Electricity [J](RunPeriod),Gas:Facility [J](RunPeriod),Heating:Gas [J](RunPeriod),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),ElectricityProduced:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
January,,,,,,,,,,,,,,,,,,4088050621.1973,1386514207.97236,267069028.570776,962.76558975813,0.526823084043262,2.79983487741024,1.23610004794743,2.253596354378457E-002,5.07542476588366,0.0,7.081921933907730E-002,0.0,0.0,4.329997260777906E-002,1.441001472707947E-005,7.222702467484562E-005,1731.1753291858,0.0,0.0,379.895596353231 
February,,,,,,,,,,,,,,,,,,3498429302.73698,1059591259.13014,383755856.571505,788.142437368671,0.430340637061819,2.30428147882192,1.0134983273478,1.846147869263002E-002,4.17724094214597,0.0,5.799403853976718E-002,0.0,0.0,3.542460807439998E-002,1.185092319476316E-005,5.942814722371126E-005,1424.8214952399,0.0,0.0,311.197391274113 
March,,,,,,,,,,,,,,,,,,4093827763.695,752672197.22284,488648552.768986,881.871169710703,0.476186761863918,2.64873403201623,1.14319693635114,2.073165280989281E-002,4.80244023835049,0.0,6.500434239304508E-002,0.0,0.0,3.951254318192855E-002,1.357330644757822E-005,6.822525460966569E-005,1638.11423437671,0.0,0.0,349.388069662939 
April,,,,,,,,,,,,,,,,,,3721577445.64001,140010574.867838,500876915.605433,764.305026247862,0.406394978965565,2.3789520811111,1.00164358084,1.805618589381040E-002,4.31418324226991,0.0,5.647257375026730E-002,0.0,0.0,3.409716318784346E-002,1.213422069663322E-005,6.117673290226162E-005,1471.61859610073,0.0,0.0,304.208315056162 
May,,,,,,,,,,,,,,,,,,4729809625.03586,639561.10204186,758794390.992349,933.210839972463,0.494107895129191,2.93238560380055,1.22660680933563,2.207584504708904E-002,5.31810861209791,0.0,6.899722741722866E-002,0.0,0.0,4.158325676059456E-002,1.493893862620233E-005,7.537679774822179E-005,1814.08505562285,0.0,0.0,371.901104456046 
June,,,,,,,,,,,,,,,,,,4675234274.35534,0.0,610213143.367164,952.790660331714,0.504466796932607,2.99401658683158,1.25235623998866,2.253913390031949E-002,5.42988225780428,0.0,7.044503849936265E-002,0.0,0.0,4.245553221951185E-002,1.525284661399840E-005,7.696089720872791E-005,1852.2127496118,0.0,0.0,379.705793573485 
July,,,,,,,,,,,,,,,,,,4852968473.32195,0.0,777681306.865879,958.36856816197,0.507420089207465,3.01154441246934,1.25968789002275,2.267108440813192E-002,5.46167033468638,0.0,7.085744381377977E-002,0.0,0.0,4.270407899422780E-002,1.534214112128529E-005,7.741144821540398E-005,1863.05613046081,0.0,0.0,381.928699409308 
August,,,,,,,,,,,,,,,,,,5207313941.35234,0.0,659003044.576376,1063.93417637661,0.563313105857883,3.34327014735801,1.39844423355132,2.516833535514483E-002,6.06328079010313,0.0,7.866248813726248E-002,0.0,0.0,4.740799168714662E-002,1.703209894397290E-005,8.593842508538625E-005,2068.27431069319,0.0,0.0,423.998667881973 
September,,,,,,,,,,,,,,,,,,4475956440.48057,8518298.64004952,506793676.061692,930.87927955748,0.492970448373853,2.92377745481802,1.22337530918677,2.201933098404516E-002,5.30248402898044,0.0,6.882277783555406E-002,0.0,0.0,4.148163720424488E-002,1.489591689635405E-005,7.515698963633833E-005,1808.7545601105,0.0,0.0,370.95042163594 
October,,,,,,,,,,,,,,,,,,4184221362.90977,95620508.4099681,446575682.279309,878.519742653893,0.466320708753508,2.7450768419947,1.15270859873183,2.076569549337220E-002,4.97825244896107,0.0,6.492872598866940E-002,0.0,0.0,3.917366755171105E-002,1.399473480772310E-005,7.057968771896655E-005,1698.14643368121,0.0,0.0,349.846314920037 
November,,,,,,,,,,,,,,,,,,3864972519.06511,443567613.407823,390057734.104714,836.460549087496,0.448336920972395,2.55631536102064,1.09005587377734,1.971073530616542E-002,4.63534316114554,0.0,6.172788355068554E-002,0.0,0.0,3.739991795617208E-002,1.306984339290982E-005,6.579222486223790E-005,1581.14322013042,0.0,0.0,332.134949634829 
December,51291033252,45525873671.9489,6114638346.11931,349478766.325099,45176394905.6237,5744538554.88172,10858.8411403669,18308589933.8903,0.0,32982443317.8489,3431606558.43681,14876983375.4582,23630636221.9829,9351807095.86454,0.0,1,5260566442.1994,3898671481.94796,1373432221.44633,325169014.355107,907.59310113886,0.497450222898597,2.62859062749893,1.16385793978148,2.123306419003665E-002,4.76488162470406,0.0,6.674344268351456E-002,0.0,0.0,4.083776022993055E-002,1.353623921356277E-005,6.782277832553323E-005,1625.24568941067,0.0,0.0,357.943991786004 
